event,gender,place,athlete,year,team,result,converted,meet,meet_date
Discus,f,3,"Okoro, Chinwe",SR-4,Louisville,58.25m,False,Louisville Cardinal Twilight,2012-05-11
Discus,f,4,"White, Skylar",,Baylor,57.67m,False,Texas Tech Open,2012-04-14
Discus,f,5,"Alexander, Annie",SR-4,Tennessee,56.78m,False,SEC Outdoor Track & Field Championship,2012-05-10
Hammer,m,1,"McCullough, Conor",SO-2,Princeton,74.01m,False,Princeton Sam Howell Invitational,2012-04-06
Hammer,m,2,"Ziegler, Alexander",,Virginia Tech,73.17m,False,Bob Pollock Invitational,2012-05-05
Hammer,m,3,"Postin, Jeremy",JR-3,Florida,70.73m,False,2012 Drake Relays,2012-04-25
Hammer,m,4,"Faldermeyer, Alec",,UCLA,69.89m,False,54th Annual Mt. SAC Relays,2012-04-19
Hammer,m,5,"Szabo, Daniel",FR-1,USC,67.10m,False,USC Trojan Invitational,2012-03-23
Hammer,f,1,"Bingson, Amanda",SR-4,UNLV,69.75m,False,Randall Cunningham Invite & Sheila-Tarr Smith Multi-Events,2012-04-13
Hammer,f,2,"McCall, Jeneva",SR-4,Southern Illinois,69.39m,False,Vanderbilt Black and Gold,2012-03-23
Hammer,f,3,"Krechyk, Alena",,Kansas,69.02m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
Hammer,f,4,"Ozorai, Jenny",SO-2,USC,68.08m,False,2012 Ben Brown Invitational,2012-03-09
Hammer,f,5,"Smith, Brittany",SR,Illinois State,67.91m,False,2012 State Farm MVC Outdoor Track & Field Championships,2012-05-11
Javelin,m,1,"Glover, Tim",SR,Illinois State,81.31m,False,Sea Ray Relays,2012-04-11
Javelin,m,2,"Humphreys, Sam",JR-3,Texas A&M,78.98m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
Javelin,m,3,"Zunic, Stipe",SO-2,Florida,77.89m,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Javelin,m,4,"Crouser, Sam",,Oregon,76.47m,False,Pac-12 Championships,2012-05-12
Javelin,m,5,"Pildavs, Martins",SR-4,Troy,75.60m,False,USA Invitational,2012-04-14
Javelin,f,1,"Borman, Brittany",SR-4,Oklahoma,59.42m,False,33rd Sun Angel Classic - Invited College,2012-04-05
Javelin,f,2,"Fraser, Melissa",SR-4,DePaul,54.24m,False,Tom Botts Invitational,2012-04-14
Javelin,f,3,"Bain, Brianna",,Stanford,53.58m,False,Pac-12 Championships,2012-05-12
Javelin,f,4,"Petranoff, Leigh",SR-4,Illinois State,52.81m,False,Illinois State University vs Southern Illinois University,2012-04-07
Javelin,f,5,"Bergmann, Heather",,Kansas,52.64m,False,Arkansas Spring Invitational,2012-03-30
Heptathlon,f,1,"Theisen, Brianne",SR-4,Oregon,6353,False,2012 Pac-12 Championships (Multi-Events),2012-05-05
Heptathlon,f,2,"Nwaba, Barbara",SR-4,UC Santa Barbara,5986,False,Sam Adams Combined Events Invitational,2012-04-02
Heptathlon,f,3,"Harrell, Brittany",,Florida,5838,False,SEC Outdoor Track & Field Championship,2012-05-10
Heptathlon,f,4,"Carrier-Eades, Chelsea",SR-4,West Virginia,5821,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Heptathlon,f,5,"Flax, Jessica",SR,Wisconsin,5772,False,Big Ten Outdoor Championship 2012,2012-05-11
Decathlon,m,1,"Murphy, Isaac",JR-3,Texas,8067,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Decathlon,m,2,"Barroilhet, Gonzalo",SR-4,Florida State,8065,False,ACC Outdoor Track & Field Championships,2012-04-19
Decathlon,m,3,"Martin, Romain",JR-3,Texas-Arlington,7977,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Decathlon,m,4,"Felix, Kurt",SR-4,Boise State,7972,False,Mt. SAC Relays/CA Invitational Multi Events,2012-04-18
Decathlon,m,5,"Barrefors, Bjorn",SR,Nebraska,7897,False,Big Ten Outdoor Championship 2012,2012-05-11
